x, y, u, v: 7, 7, 1.17582, -1.26236
x, y, u, v: 23, 7, 1.2327, -1.24828
x, y, u, v: 39, 7, 1.46407, -1.29128
x, y, u, v: 55, 7, 1.50771, -1.20063
x, y, u, v: 71, 7, 1.57452, -1.20832
x, y, u, v: 87, 7, 1.62768, -1.16628
x, y, u, v: 103, 7, 1.72997, -1.05241
x, y, u, v: 119, 7, 1.76267, -1.08606
x, y, u, v: 135, 7, 1.86349, -1.20441
x, y, u, v: 151, 7, 2.07828, -0.896678
x, y, u, v: 167, 7, 2.04724, -0.968607
x, y, u, v: 183, 7, 2.08085, -1.51587
x, y, u, v: 199, 7, 2.33019, -0.655424
x, y, u, v: 215, 7, 2.36087, -0.413565
x, y, u, v: 231, 7, 0.0643458, -6.28513
x, y, u, v: 247, 7, 2.45161, -0.0798583
x, y, u, v: 263, 7, 2.28008, 0.0270639
x, y, u, v: 279, 7, 2.37837, 0.219225
x, y, u, v: 295, 7, 2.39393, 0.426614
x, y, u, v: 311, 7, 1.91178, 0.456345
x, y, u, v: 327, 7, 2.3746, 0.546665
x, y, u, v: 343, 7, 2.10889, 0.782672
x, y, u, v: 359, 7, 2.06434, 0.944059
x, y, u, v: 375, 7, 1.96346, 0.932211
x, y, u, v: 391, 7, 1.80922, 1.06273
x, y, u, v: 407, 7, 2.08675, 0.698626
x, y, u, v: 423, 7, 1.66916, 0.82831
x, y, u, v: 439, 7, 1.57452, 1.15248
x, y, u, v: 455, 7, 1.47069, 1.19611
x, y, u, v: 471, 7, 1.27174, 1.14905
x, y, u, v: 487, 7, 1.21037, 1.21463
x, y, u, v: 503, 7, 1.24778, 1.20304
x, y, u, v: 7, 23, 1.15709, -1.2841
x, y, u, v: 23, 23, 1.28093, -1.31405
x, y, u, v: 39, 23, 1.37796, -1.30175
x, y, u, v: 55, 23, 1.57676, -1.25908
x, y, u, v: 71, 23, 1.54968, -1.33117
x, y, u, v: 87, 23, 1.67163, -1.20209
x, y, u, v: 103, 23, 1.86469, -1.17869
x, y, u, v: 119, 23, 1.93522, -1.12673
x, y, u, v: 135, 23, 2.02532, -1.06688
x, y, u, v: 151, 23, 2.13405, -0.794712
x, y, u, v: 167, 23, 2.33395, -0.799334
x, y, u, v: 183, 23, 2.41224, -0.755111
x, y, u, v: 199, 23, 2.47808, -0.570674
x, y, u, v: 215, 23, 2.46535, -0.30357
x, y, u, v: 231, 23, 2.58079, -0.222252
x, y, u, v: 247, 23, 2.6517, -0.122657
x, y, u, v: 263, 23, 2.87347, 0.0531971
x, y, u, v: 279, 23, 2.77379, 0.16699
x, y, u, v: 295, 23, 2.5469, 0.430527
x, y, u, v: 311, 23, 2.49078, 0.596367
x, y, u, v: 327, 23, 2.33433, 0.729695
x, y, u, v: 343, 23, 2.23037, 0.839087
x, y, u, v: 359, 23, 2.18658, 0.981633
x, y, u, v: 375, 23, 2.04124, 1.06079
x, y, u, v: 391, 23, 1.80035, 1.11873
x, y, u, v: 407, 23, 1.86275, 1.16935
x, y, u, v: 423, 23, 1.75187, 1.17749
x, y, u, v: 439, 23, 1.6793, 1.22192
x, y, u, v: 455, 23, 1.56404, 1.26566
x, y, u, v: 471, 23, 5.70842, -6.1762
x, y, u, v: 487, 23, 1.29452, 1.13932
x, y, u, v: 503, 23, 1.28099, 1.30239
x, y, u, v: 7, 39, 1.1569, -1.40859
x, y, u, v: 23, 39, 1.19096, -1.3348
x, y, u, v: 39, 39, 1.36521, -1.46167
x, y, u, v: 55, 39, 1.44878, -1.3672
x, y, u, v: 71, 39, 1.64986, -1.44846
x, y, u, v: 87, 39, 1.74654, -1.38804
x, y, u, v: 103, 39, 1.83083, -1.35686
x, y, u, v: 119, 39, 2.001, -1.28079
x, y, u, v: 135, 39, 2.00911, -1.13867
x, y, u, v: 151, 39, 2.24715, -1.06669
x, y, u, v: 167, 39, 2.34096, -1.0322
x, y, u, v: 183, 39, 2.44995, -0.794925
x, y, u, v: 199, 39, 2.65619, -0.722102
x, y, u, v: 215, 39, 2.63318, -0.505461
x, y, u, v: 231, 39, 2.70251, -0.325804
x, y, u, v: 247, 39, 2.80032, -0.140473
x, y, u, v: 263, 39, 2.72062, 0.00796323
x, y, u, v: 279, 39, 2.82183, 0.247426
x, y, u, v: 295, 39, 2.7298, 0.513543
x, y, u, v: 311, 39, 2.70221, 0.0968353
x, y, u, v: 327, 39, 2.43203, 0.744602
x, y, u, v: 343, 39, 2.36247, 0.976166
x, y, u, v: 359, 39, 2.20814, 1.14197
x, y, u, v: 375, 39, 2.10483, 1.16367
x, y, u, v: 391, 39, 1.71099, 1.24537
x, y, u, v: 407, 39, 1.85954, 1.25255
x, y, u, v: 423, 39, 1.74865, 1.32855
x, y, u, v: 439, 39, 1.83529, 1.53581
x, y, u, v: 455, 39, 1.5237, 1.28017
x, y, u, v: 471, 39, 1.25725, 1.34904
x, y, u, v: 487, 39, 1.30691, 1.31443
x, y, u, v: 503, 39, 1.65001, 1.38457
x, y, u, v: 7, 55, 1.16797, -1.36436
x, y, u, v: 23, 55, 1.25792, -1.46988
x, y, u, v: 39, 55, 1.24634, -1.45142
x, y, u, v: 55, 55, 1.51559, -1.60938
x, y, u, v: 71, 55, 1.5678, -1.50025
x, y, u, v: 87, 55, 1.75684, -1.55809
x, y, u, v: 103, 55, 1.83838, -1.45103
x, y, u, v: 119, 55, 2.06593, -1.33668
x, y, u, v: 135, 55, 2.12628, -1.31823
x, y, u, v: 151, 55, 2.34581, -1.24044
x, y, u, v: 167, 55, 2.46592, -1.12823
x, y, u, v: 183, 55, 2.62856, -1.0285
x, y, u, v: 199, 55, 2.84837, -0.767597
x, y, u, v: 215, 55, 2.81293, -0.479219
x, y, u, v: 231, 55, 2.97153, -0.35421
x, y, u, v: 247, 55, 2.99247, -0.10202
x, y, u, v: 263, 55, 2.90944, 0.10933
