x, y, u, v: 7, 7, 1.17582, -1.26236
x, y, u, v: 7, 15, 1.1763, -1.22177
x, y, u, v: 7, 23, 1.15709, -1.2841
x, y, u, v: 7, 31, 1.18481, -1.32742
x, y, u, v: 7, 39, 1.1569, -1.40859
x, y, u, v: 7, 47, 1.14685, -1.41417
x, y, u, v: 7, 55, 1.16797, -1.36436
x, y, u, v: 7, 63, 0.970905, -1.68934
x, y, u, v: 7, 71, 1.14222, -1.63603
x, y, u, v: 7, 79, 1.11727, -1.62577
x, y, u, v: 7, 87, 1.01186, -1.52111
x, y, u, v: 7, 95, 1.10023, -1.73553
x, y, u, v: 7, 103, 1.1276, -1.81741
x, y, u, v: 7, 111, 1.03707, -1.81975
x, y, u, v: 7, 119, 1.05104, -1.86942
x, y, u, v: 7, 127, 0.95307, -1.97749
x, y, u, v: 7, 135, 0.947292, -1.99181
x, y, u, v: 7, 143, 0.906657, -2.06175
x, y, u, v: 7, 151, 0.88167, -2.04703
x, y, u, v: 7, 159, 0.871845, -2.08862
x, y, u, v: 7, 167, 0.782591, -2.18663
x, y, u, v: 7, 175, 0.670431, -2.22614
x, y, u, v: 7, 183, 0.67306, -2.19735
x, y, u, v: 7, 191, 0.644783, -2.18442
x, y, u, v: 7, 199, 0.503479, -2.21251
x, y, u, v: 7, 207, 0.354685, -2.3994
x, y, u, v: 7, 215, 0.339676, -2.33389
x, y, u, v: 7, 223, 0.242519, -2.2528
x, y, u, v: 7, 231, 0.224142, -2.3964
x, y, u, v: 7, 239, 0.0832839, -2.38744
x, y, u, v: 7, 247, 0.0252668, -2.49746
x, y, u, v: 7, 255, 0.0623229, -2.52248
x, y, u, v: 7, 263, -0.128872, -2.43214
x, y, u, v: 7, 271, -0.148988, -2.38941
x, y, u, v: 7, 279, -0.259957, -2.28691
x, y, u, v: 7, 287, -0.365836, -2.44564
x, y, u, v: 7, 295, -0.40389, -2.35284
x, y, u, v: 7, 303, -0.409947, -2.38025
x, y, u, v: 7, 311, -0.560033, -2.28569
x, y, u, v: 7, 319, -0.612755, -2.15605
x, y, u, v: 7, 327, -0.709353, -2.19857
x, y, u, v: 7, 335, -0.721876, -2.18499
x, y, u, v: 7, 343, -0.75946, -2.18874
